buy_now,spot,ladder,hedge
26456318.3347463,25521794.909855243,24632291.296726387,25715555.895232238
26456318.3347463,25309190.946260475,25336869.543914814,25651774.706153806
26456318.3347463,24355093.82573709,23932649.529772583,25365545.56999679
26456318.3347463,25669970.71667809,25214037.98116843,25760008.63727909
26456318.3347463,26060200.39553919,25752433.501538485,25877077.54093742
26456318.3347463,25324683.975418933,24745911.997276884,25656422.61490134
26456318.3347463,26307541.969155036,25394625.549733937,25951280.013022177
26456318.3347463,25782699.412726946,25856854.332644824,25793827.24609375
26456318.3347463,24515444.05308047,24793429.980890866,25413650.638199806
26456318.3347463,25442482.964681316,25230376.827581864,25691762.311680056
26456318.3347463,26145437.607195012,25485733.049391825,25902648.704434168
26456318.3347463,24228786.616105605,24600373.786810108,25327653.407107346
26456318.3347463,25139546.451968014,25758407.35937591,25600881.357866067
26456318.3347463,25390434.290309772,25669854.647161383,25676147.709368594
26456318.3347463,26203454.064854518,25833783.854566883,25920053.64173202
26456318.3347463,26400913.53977658,25505903.948773257,25979291.484208636
26456318.3347463,25936473.126553636,27147786.112607833,25839959.360241756
26456318.3347463,26019211.537506692,25442730.7243845,25864780.88352767
26456318.3347463,25281391.75173737,24981432.65409838,25643434.947796874
26456318.3347463,25375636.004676856,26204856.410138134,25671708.22367872
26456318.3347463,25486427.62537323,25233240.21069471,25704945.70988763
26456318.3347463,26276495.742052652,25638145.16768817,25941966.144891456
26456318.3347463,27140456.658087693,27171095.425033625,26201154.41970197
26456318.3347463,25496768.52291656,26407807.889464416,25708047.97915063
26456318.3347463,24679360.335649885,26405765.55080064,25462825.522970628
26456318.3347463,24798913.474971995,24891711.763211425,25498691.464767262
26456318.3347463,25615240.941401154,26130881.010187224,25743589.70469601
26456318.3347463,26362570.384504706,26579436.59696795,25967788.53762708
26456318.3347463,25983495.49551685,25789554.509065222,25854066.07093072
26456318.3347463,26774109.41272828,26354764.145241525,26091250.24609415
26456318.3347463,25949306.76611999,25426698.644368313,25843809.45211166
26456318.3347463,26005836.32826516,25719803.70961339,25860768.320755213
26456318.3347463,25890140.639895722,25661391.355022054,25826059.61424438
26456318.3347463,24279885.106491707,24814131.234867577,25342982.954223175
26456318.3347463,25438903.569337003,25756307.19648337,25690688.493076764
26456318.3347463,26984362.584618136,27410949.712814257,26154326.1976611
26456318.3347463,25811573.998817436,25885483.154169556,25802489.621920895
26456318.3347463,26063208.02440348,26023296.659501687,25877979.82959671
26456318.3347463,24960911.762413926,24692864.53170902,25547290.95099984
26456318.3347463,26837030.519767042,26496869.434553128,26110126.57820578
26456318.3347463,26192892.78710086,26330354.370419506,25916885.25840592
26456318.3347463,25741625.349981874,26652732.639373638,25781505.027270228
26456318.3347463,25384946.641609013,25309377.86309181,25674501.41475837
26456318.3347463,25653755.65717236,26385280.276484583,25755144.11942737
26456318.3347463,26487594.006610952,26240455.717423562,26005295.62425895
26456318.3347463,25325124.162394755,25744204.618643727,25656554.67099409
26456318.3347463,25378260.780242357,26126835.47371856,25672495.65634837
26456318.3347463,26692011.905429542,26326199.27013527,26066620.993904527
26456318.3347463,25084186.317236148,25464428.713760007,25584273.317446508
26456318.3347463,25198834.95874178,25509325.369783856,25618667.9098982
26456318.3347463,25676399.568914913,26142838.012966193,25761937.29295014
26456318.3347463,24771708.35068115,25099359.71822834,25490529.92748001
26456318.3347463,24889186.475648098,24912791.84104888,25525773.36497009
26456318.3347463,24707761.790893663,24526253.056069177,25471345.95954376
26456318.3347463,25642422.71774147,26087768.526339546,25751744.237598106
26456318.3347463,27311415.579086117,27986918.772991147,26252442.0960015
26456318.3347463,25782988.84357257,25318783.77974998,25793914.07534743
26456318.3347463,25281550.78300211,26082021.700969603,25643482.657176297
26456318.3347463,25958988.798443574,26452986.11111436,25846714.061808735
26456318.3347463,25346638.66022888,26443093.609098498,25663009.020344328
26456318.3347463,25686194.403086476,26236744.27225132,25764875.743201606
26456318.3347463,24414964.409502193,25532938.702558577,25383506.745126322
26456318.3347463,24559039.215869457,25069699.90654192,25426729.1870365
26456318.3347463,26015248.357231513,26615450.034738254,25863591.929445118
26456318.3347463,25325987.6883851,25663444.10296041,25656813.728791192
26456318.3347463,25805696.42298901,26651181.53875388,25800726.34917237
26456318.3347463,27178538.735269025,26649580.171565477,26212579.042856373
26456318.3347463,26747476.894543372,25817271.147141278,26083260.490638673
26456318.3347463,25949066.460557595,26865367.351011943,25843737.360442944
26456318.3347463,27113589.877112955,26686400.573147576,26193094.38540955
26456318.3347463,26035344.96550962,26189733.136374526,25869620.91192855
26456318.3347463,26214265.700526703,25877559.76696181,25923297.132433675
26456318.3347463,24786839.04546907,24894088.24949726,25495069.135916382
26456318.3347463,24454338.855870344,24819789.010980904,25395319.079036765
26456318.3347463,27648240.506399497,26230393.353823483,26353489.574195515
26456318.3347463,25084464.38326674,26408227.99974583,25584356.737255685
26456318.3347463,26193850.074872643,25314682.375153266,25917172.444737457
26456318.3347463,24917621.24082038,25331169.053975854,25534303.79452178
26456318.3347463,25078288.872693837,25165304.146795,25582504.084083818
26456318.3347463,24678088.56693925,25807784.654213067,25462443.99235744
26456318.3347463,24044910.798653085,25645498.324428033,25272490.66187159
26456318.3347463,25511424.853402365,25703830.04228652,25712444.878296375
26456318.3347463,27647930.251663953,27109293.170120902,26353396.49777485
26456318.3347463,24256385.61955466,25451602.484741572,25335933.108142063
26456318.3347463,26644382.97220111,26263336.061705902,26052332.313935995
26456318.3347463,24912681.817496113,24503310.167026345,25532821.9675245
26456318.3347463,26193770.299137734,26573010.20100281,25917148.51201698
26456318.3347463,26318780.06021317,26199627.813342564,25954651.440339614
26456318.3347463,25862831.128602147,25809366.15279352,25817866.760856308
